DATEEFFECTIVE,INTERSECTIONDESC,CLASSIFICATION,CLASSIFICATIONDESC,geometry,MODGEOMETRY
2008-12-12 4:22:46 AM,ALDERBRAE AVE / LANOR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5436019864, 43.6093202975)}"," (-79.5436019864, 43.6093202975)"
2008-12-12 4:22:46 AM,LANOR AVE / BETA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5410960663, 43.6098436955)}"," (-79.5410960663, 43.6098436955)"
2008-12-12 4:22:46 AM,HALLMARK AVE / VALERMO DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5437612589, 43.6067893951)}"," (-79.5437612589, 43.6067893951)"
2008-12-12 4:22:46 AM,ALDERBRAE AVE / VALERMO DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5426641831, 43.6070442532)}"," (-79.5426641831, 43.6070442532)"
2008-12-12 4:22:46 AM,ALDERCREST RD / VALERMO DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5415781196, 43.60729411)}"," (-79.5415781196, 43.60729411)"
2008-12-12 4:22:46 AM,ALDERBRAE AVE / RIMILTON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5417223522, 43.6048603585)}"," (-79.5417223522, 43.6048603585)"
2008-12-12 4:22:46 AM,LUNNESS RD / VALERMO DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5459796697, 43.6062894581)}"," (-79.5459796697, 43.6062894581)"
2008-12-12 4:22:46 AM,BROWN'S LINE / WHALEY DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5473634577, 43.6065813947)}"," (-79.5473634577, 43.6065813947)"
2008-12-12 4:22:46 AM,BROWN'S LINE / VALERMO DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5471356618, 43.6060245163)}"," (-79.5471356618, 43.6060245163)"
2008-12-12 4:22:46 AM,BROWN'S LINE / MITCHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5466116013, 43.6048244082)}"," (-79.5466116013, 43.6048244082)"
2008-12-12 4:22:46 AM,BROWN'S LINE / CUTLER CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5469775151, 43.605694994)}"," (-79.5469775151, 43.605694994)"
2008-12-12 4:22:46 AM,BROWN'S LINE / RIMILTON AVE / FINSBURY CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5461863333, 43.6038810145)}"," (-79.5461863333, 43.6038810145)"
2008-12-12 4:22:46 AM,MITCHAM DR / CUTLER CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5485506704, 43.6044276371)}"," (-79.5485506704, 43.6044276371)"
2008-12-12 4:22:46 AM,AVALON RD / ORIANNA DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5470952063, 43.6028194734)}"," (-79.5470952063, 43.6028194734)"
2008-12-12 4:22:46 AM,BROWN'S LINE / AVALON RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.545849204, 43.6031081159)}"," (-79.545849204, 43.6031081159)"
2008-12-12 4:22:46 AM,LUNNESS RD / RIMILTON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5450435968, 43.6041150306)}"," (-79.5450435968, 43.6041150306)"
2008-12-12 4:22:46 AM,SHELDON AVE / RIMILTON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5439292043, 43.6043644439)}"," (-79.5439292043, 43.6043644439)"
2008-12-12 4:22:46 AM,HALLMARK AVE / RIMILTON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5428313713, 43.604606342)}"," (-79.5428313713, 43.604606342)"
2008-12-12 4:22:46 AM,HALLMARK AVE / HORNER AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5419182407, 43.6024302864)}"," (-79.5419182407, 43.6024302864)"
2008-12-12 4:22:46 AM,LUNNESS RD / HORNER AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5441380775, 43.6019443095)}"," (-79.5441380775, 43.6019443095)"
2008-12-12 4:22:46 AM,BROWN'S LINE / BURLINGAME RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5448582396, 43.6008508945)}"," (-79.5448582396, 43.6008508945)"
2008-12-12 4:22:46 AM,BROWN'S LINE / ALBRIGHT AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5437515118, 43.598382372)}"," (-79.5437515118, 43.598382372)"
2008-12-12 4:22:46 AM,BROWN'S LINE / WOODBURY RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5441627127, 43.599300244)}"," (-79.5441627127, 43.599300244)"
2008-12-12 4:22:46 AM,BROWN'S LINE / ROSELAND DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5444775583, 43.600012379)}"," (-79.5444775583, 43.600012379)"
2008-12-12 4:22:46 AM,WOODBURY RD / FOCH AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5472817553, 43.5985066986)}"," (-79.5472817553, 43.5985066986)"
2008-12-12 4:22:46 AM,FOCH AVE / ROSELAND DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5476368755, 43.5993126844)}"," (-79.5476368755, 43.5993126844)"
2008-12-12 4:22:46 AM,BURLINGAME RD / FOCH AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5480094123, 43.6001554505)}"," (-79.5480094123, 43.6001554505)"
2008-12-12 4:22:46 AM,FOCH AVE / HORNER AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5483738151, 43.6010054649)}"," (-79.5483738151, 43.6010054649)"
2008-12-12 4:22:46 AM,HORNER AVE / ORIANNA DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5464919268, 43.6014121026)}"," (-79.5464919268, 43.6014121026)"
2008-12-12 4:22:46 AM,DALSTON RD / ELTHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5520901001, 43.6022586505)}"," (-79.5520901001, 43.6022586505)"
2008-12-12 4:22:46 AM,HORNER AVE / SUNSET AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5511585294, 43.6003794718)}"," (-79.5511585294, 43.6003794718)"
2008-12-12 4:22:46 AM,HORNER AVE / HESLOP DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5507149468, 43.6004765429)}"," (-79.5507149468, 43.6004765429)"
2008-12-12 4:22:46 AM,HORNER AVE / DELMA DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5497654659, 43.6006908254)}"," (-79.5497654659, 43.6006908254)"
2008-12-12 4:22:46 AM,BURLINGAME RD / SUNSET AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5507874627, 43.5995124024)}"," (-79.5507874627, 43.5995124024)"
2008-12-12 4:22:46 AM,SUNSET AVE / ROSELAND DR / WESTLEIGH CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5504208168, 43.598690625)}"," (-79.5504208168, 43.598690625)"
2008-12-12 4:22:46 AM,BURLINGAME RD / HORNER AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5526634347, 43.6000211432)}"," (-79.5526634347, 43.6000211432)"
2008-12-12 4:22:46 AM,WESTHEAD RD / AINTREE CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5533582861, 43.6008733924)}"," (-79.5533582861, 43.6008733924)"
2008-12-12 4:22:46 AM,WESTHEAD RD / DUNNING CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.553931504, 43.6018035662)}"," (-79.553931504, 43.6018035662)"
2008-12-12 4:22:46 AM,WESTHEAD RD / THAMES AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5559101101, 43.6045857065)}"," (-79.5559101101, 43.6045857065)"
2008-12-12 4:22:46 AM,WESTHEAD RD / PUTNEY RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5550813567, 43.6038752296)}"," (-79.5550813567, 43.6038752296)"
2008-12-12 4:22:46 AM,WESTHEAD RD / HIGHBURY DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5542490789, 43.6025844886)}"," (-79.5542490789, 43.6025844886)"
2008-12-12 4:22:46 AM,DELMA DR / ELTHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5502714799, 43.6026630171)}"," (-79.5502714799, 43.6026630171)"
2008-12-12 4:22:46 AM,DELMA DR / ELTHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5504969904, 43.6026154261)}"," (-79.5504969904, 43.6026154261)"
2008-12-12 4:22:46 AM,RADLETT AVE / ELTHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5491376021, 43.6028975744)}"," (-79.5491376021, 43.6028975744)"
2008-12-12 4:22:46 AM,DELMA DR / MITCHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5508538735, 43.6040523471)}"," (-79.5508538735, 43.6040523471)"
2008-12-12 4:22:46 AM,RADLETT AVE / MITCHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5497393976, 43.6043052557)}"," (-79.5497393976, 43.6043052557)"
2008-12-12 4:22:46 AM,NORFOLK AVE / MITCHAM DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5520979889, 43.6037783684)}"," (-79.5520979889, 43.6037783684)"
2008-12-12 4:22:46 AM,NORFOLK AVE / STEPHNEY DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5526418893, 43.6050434508)}"," (-79.5526418893, 43.6050434508)"
